Date;Flow pressure current;External potentiometer preset in %;Error pending: Filter 1 80%;Webserver control active;Error pending: Filter 1 minimal pressure not reached;Flow pressure setpoint in Pa;Filter 3 operation hours;Maintanence hours;Error pending: Filter 2 80%;Temperature;Filter 1 in %;Potentiometer in %;Blower operation hours;Error pending: Filter 1 100%;Filter 2 operation hours;Error pending: Unit not running;Error pending: Maximum cleaning cycles reached;Error pending: Filter 2 minimal pressure not reached;Filter 1 pressure;Motor power in %;Operating hours;Operation mode;Filter 1 operation hours;Filter 2 pressure;Error pending: Filter 1 operation time exceeded;Device state;Error pending: Blower operation time exceeded;Error pending: Filter 2 operation time exceeded;Remote control active?;Filter 2 in %;Error pending: Device temperature to high;Error pending: Filter 3 operation time exceeded;Error pending: Filter 2 100%
2019-07-16T23:00:00;51.0773;49.6764;49.5567;1;0;651.044;956.57;3045.34;48.6224;;2608.97;14.0828;21.641;21.641;21.641;21.641;21.641;21.641;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T23:00:00;44.7612;47.3331;39.1911;1;0;553.104;1217.11;2230.96;69.1234;;3755.19;52.9501;187.116;187.116;187.116;187.116;187.116;187.116;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
